




Time (Second)	Temperature (K)	Field 1 	Field 2 	Field 3 	Gate Voltage (Volt)	SR510 No. 1 (Ohm}	SR510 No. 2 (Ohm}	Empty	Empty	Leakage Current
1.250000E+0	4.488000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-5.000000E-1	2.410000E+2	5.000000E+0	0.000000E+0	0.000000E+0	-2.739232E-10
3.266000E+0	4.488000E+0	1.400000E-3	0.000000E+0	0.000000E+0	-5.000000E-1	2.410000E+2	1.000000E+1	0.000000E+0	0.000000E+0	-2.303108E-10
5.274000E+0	4.487000E+0	7.800000E-3	0.000000E+0	0.000000E+0	-5.000000E-1	2.410000E+2	2.500000E+1	0.000000E+0	0.000000E+0	-2.251502E-10
7.281000E+0	4.485000E+0	1.370000E-2	0.000000E+0	0.000000E+0	-5.000000E-1	2.405000E+2	3.500000E+1	0.000000E+0	0.000000E+0	-2.146171E-10
9.292000E+0	4.483000E+0	1.870000E-2	0.000000E+0	0.000000E+0	-5.000000E-1	2.405000E+2	5.000000E+1	0.000000E+0	0.000000E+0	-2.056494E-10
1.130300E+1	4.480000E+0	2.350000E-2	0.000000E+0	0.000000E+0	-5.000000E-1	2.400000E+2	6.000000E+1	0.000000E+0	0.000000E+0	-2.042957E-10
1.331300E+1	4.475000E+0	3.020000E-2	0.000000E+0	0.000000E+0	-5.000000E-1	2.400000E+2	7.500000E+1	0.000000E+0	0.000000E+0	-2.043380E-10
1.531900E+1	4.470000E+0	3.570000E-2	0.000000E+0	0.000000E+0	-5.000000E-1	2.390000E+2	8.500000E+1	0.000000E+0	0.000000E+0	-2.094565E-10
1.732700E+1	4.464000E+0	4.240000E-2	0.000000E+0	0.000000E+0	-5.000000E-1	2.390000E+2	1.000000E+2	0.000000E+0	0.000000E+0	-2.108947E-10
1.933200E+1	4.457000E+0	4.920000E-2	0.000000E+0	0.000000E+0	-5.000000E-1	2.385000E+2	1.150000E+2	0.000000E+0	0.000000E+0	-2.111060E-10
2.134000E+1	4.450000E+0	5.500000E-2	0.000000E+0	0.000000E+0	-5.000000E-1	2.380000E+2	1.300000E+2	0.000000E+0	0.000000E+0	-2.158016E-10
2.335200E+1	4.442000E+0	6.210000E-2	0.000000E+0	0.000000E+0	-5.000000E-1	2.380000E+2	1.500000E+2	0.000000E+0	0.000000E+0	-2.377136E-10
2.535500E+1	4.434000E+0	6.900000E-2	0.000000E+0	0.000000E+0	-5.000000E-1	2.380000E+2	1.600000E+2	0.000000E+0	0.000000E+0	-2.257846E-10
2.733300E+1	4.423000E+0	7.520000E-2	0.000000E+0	0.000000E+0	-5.000000E-1	2.375000E+2	1.750000E+2	0.000000E+0	0.000000E+0	-2.328066E-10
2.934300E+1	4.414000E+0	8.260000E-2	0.000000E+0	0.000000E+0	-5.000000E-1	2.375000E+2	1.850000E+2	0.000000E+0	0.000000E+0	-2.228236E-10
3.135000E+1	4.403000E+0	8.950000E-2	0.000000E+0	0.000000E+0	-5.000000E-1	2.365000E+2	2.050000E+2	0.000000E+0	0.000000E+0	-2.162247E-10
3.333500E+1	4.396000E+0	9.540000E-2	0.000000E+0	0.000000E+0	-5.000000E-1	2.365000E+2	2.150000E+2	0.000000E+0	0.000000E+0	-2.976119E-10
3.534600E+1	4.382000E+0	1.025000E-1	0.000000E+0	0.000000E+0	-5.000000E-1	2.365000E+2	2.300000E+2	0.000000E+0	0.000000E+0	-2.691432E-10
3.736100E+1	4.370000E+0	1.095000E-1	0.000000E+0	0.000000E+0	-5.000000E-1	2.365000E+2	2.500000E+2	0.000000E+0	0.000000E+0	-2.341179E-10
3.935400E+1	4.362000E+0	1.164000E-1	0.000000E+0	0.000000E+0	-5.000000E-1	2.365000E+2	2.600000E+2	0.000000E+0	0.000000E+0	-2.840332E-10
4.138000E+1	4.350000E+0	1.231000E-1	0.000000E+0	0.000000E+0	-5.000000E-1	2.360000E+2	2.750000E+2	0.000000E+0	0.000000E+0	-2.150403E-10
