




Time (Second)	Temperature (K)	Field 1 	Field 2 	Field 3 	Gate Voltage (Volt)	SR510 No. 1 (Ohm}	SR510 No. 2 (Ohm}	Empty	Empty	Leakage Current
1.000000E-1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	5.000000E-1	4.000000E+1	4.600000E+2	0.000000E+0	0.000000E+0	-1.919438E-10
1.698000E+0	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	4.900000E-1	4.000000E+1	4.650000E+2	0.000000E+0	0.000000E+0	-1.612330E-10
3.279000E+0	4.083000E+0	5.003000E-1	0.000000E+0	0.000000E+0	4.800000E-1	4.050000E+1	4.750000E+2	0.000000E+0	0.000000E+0	-1.428744E-10
4.855000E+0	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	4.700000E-1	4.100000E+1	4.800000E+2	0.000000E+0	0.000000E+0	-1.486699E-10
6.439000E+0	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	4.600000E-1	4.100000E+1	4.850000E+2	0.000000E+0	0.000000E+0	-1.756578E-10
8.025000E+0	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	4.500000E-1	4.150000E+1	4.900000E+2	0.000000E+0	0.000000E+0	-2.394056E-10
9.606000E+0	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	4.400000E-1	4.250000E+1	5.000000E+2	0.000000E+0	0.000000E+0	-2.676627E-10
1.118900E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	4.300000E-1	4.300000E+1	5.050000E+2	0.000000E+0	0.000000E+0	-2.656322E-10
1.277100E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	4.200000E-1	4.350000E+1	5.100000E+2	0.000000E+0	0.000000E+0	-2.311991E-10
1.434700E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	4.100000E-1	4.400000E+1	5.150000E+2	0.000000E+0	0.000000E+0	-2.162669E-10
1.592500E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	4.000000E-1	4.500000E+1	5.250000E+2	0.000000E+0	0.000000E+0	-2.040418E-10
1.751000E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	3.900000E-1	4.550000E+1	5.300000E+2	0.000000E+0	0.000000E+0	-2.108946E-10
1.908600E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	3.800000E-1	4.650000E+1	5.350000E+2	0.000000E+0	0.000000E+0	-2.311992E-10
2.066400E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	3.700000E-1	4.750000E+1	5.400000E+2	0.000000E+0	0.000000E+0	-2.635595E-10
2.225000E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	3.600000E-1	4.850000E+1	5.400000E+2	0.000000E+0	0.000000E+0	-3.017996E-10
2.383200E+1	4.083000E+0	5.003000E-1	0.000000E+0	0.000000E+0	3.500000E-1	4.900000E+1	5.500000E+2	0.000000E+0	0.000000E+0	-2.933817E-10
2.541600E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	3.400000E-1	5.000000E+1	5.550000E+2	0.000000E+0	0.000000E+0	-2.494309E-10
2.700100E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	3.300000E-1	5.050000E+1	5.550000E+2	0.000000E+0	0.000000E+0	-2.151671E-10
2.857800E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	3.200000E-1	5.100000E+1	5.600000E+2	0.000000E+0	0.000000E+0	-2.131789E-10
3.018000E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	3.100000E-1	5.150000E+1	5.600000E+2	0.000000E+0	0.000000E+0	-3.038301E-10
3.175800E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	3.000000E-1	5.250000E+1	5.600000E+2	0.000000E+0	0.000000E+0	-3.062413E-10
3.336400E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	2.900000E-1	5.250000E+1	5.650000E+2	0.000000E+0	0.000000E+0	-2.165631E-10
3.496500E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	2.800000E-1	5.300000E+1	5.650000E+2	0.000000E+0	0.000000E+0	-2.712582E-10
3.654400E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	2.700000E-1	5.350000E+1	5.750000E+2	0.000000E+0	0.000000E+0	-2.980348E-10
3.812500E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	2.600000E-1	5.400000E+1	5.750000E+2	0.000000E+0	0.000000E+0	-3.069604E-10
3.970600E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	2.500000E-1	5.500000E+1	5.800000E+2	0.000000E+0	0.000000E+0	-2.855560E-10
4.130500E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	2.400000E-1	5.500000E+1	5.800000E+2	0.000000E+0	0.000000E+0	-2.162669E-10
4.288700E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	2.300000E-1	5.600000E+1	5.850000E+2	0.000000E+0	0.000000E+0	-2.273498E-10
4.448500E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	2.200000E-1	5.600000E+1	5.850000E+2	0.000000E+0	0.000000E+0	-3.042954E-10
4.606200E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	2.100000E-1	5.650000E+1	5.850000E+2	0.000000E+0	0.000000E+0	-3.045492E-10
4.764600E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	2.000000E-1	5.750000E+1	5.900000E+2	0.000000E+0	0.000000E+0	-2.721466E-10
4.922300E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	1.900000E-1	5.800000E+1	5.900000E+2	0.000000E+0	0.000000E+0	-2.426627E-10
5.080700E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	1.800000E-1	5.850000E+1	6.000000E+2	0.000000E+0	0.000000E+0	-2.157170E-10
5.238800E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	1.700000E-1	5.900000E+1	6.000000E+2	0.000000E+0	0.000000E+0	-2.237119E-10
5.397800E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	1.600000E-1	6.050000E+1	6.050000E+2	0.000000E+0	0.000000E+0	-2.775611E-10
5.556300E+1	4.083000E+0	5.003000E-1	0.000000E+0	0.000000E+0	1.500000E-1	6.100000E+1	6.100000E+2	0.000000E+0	0.000000E+0	-3.077218E-10
5.714700E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	1.400000E-1	6.250000E+1	6.150000E+2	0.000000E+0	0.000000E+0	-2.828065E-10
5.872800E+1	4.084000E+0	5.003000E-1	0.000000E+0	0.000000E+0	1.300000E-1	6.350000E+1	6.250000E+2	0.000000E+0	0.000000E+0	-2.448624E-10
