




Time (Second)	Temperature (K)	Field 1 	Field 2 	Field 3 	Gate Voltage (Volt)	SR510 No. 1 (Ohm}	SR510 No. 2 (Ohm}	Empty	Empty	Leakage Current
1.000000E-1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.330000E+0	0.000000E+0	0.000000E+0	-2.964272E-10
1.688000E+0	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.330000E+0	0.000000E+0	0.000000E+0	-1.096247E-10
3.266000E+0	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.330000E+0	0.000000E+0	0.000000E+0	-1.092016E-10
4.845000E+0	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.380000E+0	0.000000E+0	0.000000E+0	-1.862324E-10
6.426000E+0	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.330000E+0	0.000000E+0	0.000000E+0	-3.266727E-10
8.004000E+0	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.330000E+0	0.000000E+0	0.000000E+0	-4.180241E-10
9.591000E+0	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.330000E+0	0.000000E+0	0.000000E+0	-4.214938E-10
1.117300E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.400000E+0	0.000000E+0	0.000000E+0	-2.957927E-10
1.277100E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.330000E+0	0.000000E+0	0.000000E+0	-1.175775E-10
1.434600E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.330000E+0	0.000000E+0	0.000000E+0	-1.583982E-10
1.591900E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.300000E+0	0.000000E+0	0.000000E+0	-2.007418E-10
1.749800E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.330000E+0	0.000000E+0	0.000000E+0	-3.135169E-10
1.907500E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.330000E+0	0.000000E+0	0.000000E+0	-4.021569E-10
2.064800E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.380000E+0	0.000000E+0	0.000000E+0	-4.253866E-10
2.222300E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.400000E+0	0.000000E+0	0.000000E+0	-4.568248E-10
2.380000E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.400000E+0	0.000000E+0	0.000000E+0	-4.414654E-10
2.537500E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.400000E+0	0.000000E+0	0.000000E+0	-3.977987E-10
2.695200E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.380000E+0	0.000000E+0	0.000000E+0	-3.064103E-10
2.852700E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.330000E+0	0.000000E+0	0.000000E+0	-2.519263E-10
3.010100E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.330000E+0	0.000000E+0	0.000000E+0	-2.024338E-10
3.167400E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.330000E+0	0.000000E+0	0.000000E+0	-1.589480E-10
3.324800E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.380000E+0	0.000000E+0	0.000000E+0	-1.180003E-10
3.482200E+1	2.923600E+2	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	1.435000E+2	-6.380000E+0	0.000000E+0	0.000000E+0	-9.723047E-11
